field_1,number,lat,lon,HubName,HubDist
Lanuza Ave,"176",14.578144,121.073569,Ugong,0.544050131711831
Pearl Drive,"79",14.705884,121.072886,North Fairview,1.01349561082973
Susana Heights,"153",14.386639,121.045008,Poblacion,0.284242987945392
DAR,"14",14.654327,121.049542,Old Capitol Site,0.582549383071688
RMC,"140",14.564691,121.06562,Bagong Ilog,0.59142953377515
COA,"76",14.691034,121.087495,Commonwealth,0.637983648483508
Batasan,"75",14.686312,121.086823,Commonwealth,1.16274092579884
Road 20,"6",14.671274,121.032178,Bagong Pag-asa,1.00161931477206
MMC,"151",14.391191,121.044553,Poblacion,0.221894806870215
Puregold North Comm,"13",14.704742,121.080524,Commonwealth,1.1561400202988
EAMC,"66",14.642645,121.047275,Central,0.269127721897547
Diliman Doctors,"73",14.669134,121.076211,Matandang Balara,0.70129773871924
Home Owners,"111",14.641109,121.094111,Jesus de La Pena,0.591865370873662
Magsaysay Ave,"168",14.657098,121.074453,Pansol,0.765770999049576
EDSA Ortigas,"130",14.593294,121.058324,Wack-wack Greenhills,0.796990064962005
City of Dreams,"4",14.523873,120.99062,Tambo,1.03305968125228
Visayas Ave,"164",14.671961,121.043415,Pasong Tamo,0.669117426307554
Tandang Sora 2,"72",14.662906,121.067297,Matandang Balara,0.529552072796858
Heritage,"1",14.536901,120.99228,PBarangay 75,0.525726364034758
Rosa Alvero,"171",14.63702,121.074491,Loyola Heights,0.46249809339502
Emerald,"131",14.589355,121.062877,Ugong Norte,1.183738627159
Mall of Asia,"3",14.535539,120.98372,PBarangay 76,1.26126009862023
Green Meadows,"174",14.601829,121.079219,Bagumbayan,0.759211220881404
Robinsons Galleria,"23",14.592287,121.05938,Wack-wack Greenhills,0.858401161453697
Perpetual Help,"189",14.448005,120.985293,Pamplona Tres,0.857710223975303
LCP,"68",14.649285,121.046001,Central,0.5163659905086
C-5 Ortigas,"133",14.589977,121.079804,Rosario,0.640919306129043
Belfa St,"11",14.732783,121.055634,Pasong Putik Proper,0.733210517486851
Frontera Drive,"24",14.589679,121.077296,Rosario,0.851903964724576
Mindanao Ave 1,"55",14.668888,121.033283,Bagong Pag-asa,0.729041395117569
Gilmore,"15",14.613692,121.034162,Ermitano,0.460923880389084
SM Southmall,"192",14.434786,121.010984,Almanza Uno,0.310072758053016
Kingspoint,"8",14.69277,121.029815,Bagbag,0.439378690621755
Katipunan,"107",14.63186,121.074466,Escopa III,0.591225046493434
Luzon Ave 1,"166",14.671892,121.068413,Matandang Balara,0.924617909374836
Pangilinan Virgina St,"28",14.670915,121.039197,Project 6,1.00972458549332
Padre Faura,"47",14.575866,120.979365,MBarangay 668,0.253682482200901
Kasiyahan,"102",14.687688,121.092237,Batasan Hills,0.791248949780782
SM City Valenzuela,"28",14.685693,120.97648,Karuhatan,0.424621250093508
Valenzuela City Hall,"30",14.692952,120.968104,Malinta,0.467504439261867
Matandang Balara,"167",14.663352,121.074227,Matandang Balara,0.261815089707934
Tiendesitas,"31",14.585557,121.07862,Rosario,0.628224054084598
Mindanao Ave 2,"82",14.721418,121.052086,Santa Monica,1.02471262854089
